appid,steam_name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,median_forever,price,initialprice,discount,ccu,genres,tags,languages,release_date,windows,mac,linux
851850,DRAGON BALL Z: KAKAROT,CyberConnect2 Co. Ltd.,Bandai Namco Entertainment Inc.,NA,NA,NA,93,NA,NA,NA,19.99,19.99,25,NA,1|3,19|122|7481|4231|1684|4158|1697|4046|4166|4747|4026|1756|4085|1695|1743|4182|3859|1742|21|4434,NA,01/16/2020,TRUE,FALSE,FALSE
1875830,Shin Megami Tensei V: Vengeance,ATLUS,SEGA,NA,NA,NA,92,NA,NA,NA,59.99,59.99,65,NA,25|3,4434|122|1677|4191|1697|4166|6971|4342|4026|4182|5363|3835|1742|9541|916648|21|4085|6426|3834|1741,NA,06/14/2024,TRUE,FALSE,FALSE
495140,NARUTO: Ultimate Ninja STORM,CyberConnect2 Co. Ltd.,BANDAI NAMCO Entertainment,NA,NA,NA,76,NA,NA,NA,19.99,19.99,0,NA,1|25,19|21|4085|1743|1695|3859|4182|1688|1742|6506,NA,08/25/2017,TRUE,FALSE,FALSE
1498570,THE KING OF FIGHTERS XV,SNK CORPORATION,SNK CORPORATION,NA,NA,NA,83,NA,NA,NA,29.99,29.99,0,NA,1,4736|1743|1756|12095|4975|7368|7208|6650|19|1775|3859|4191|4182|4085|1773|3878,NA,02/17/2022,TRUE,FALSE,FALSE
1367080,MOBILE SUIT GUNDAM BATTLE OPERATION 2,Bandai Namco Forge Digitals Inc.,Bandai Namco Entertainment Inc.,NA,NA,NA,21,NA,NA,NA,0,0,NA,NA,1|37,113|5752|4168|4747|1708|6730|4182|4085|1697|1685|597|1721|4821|1775|3814|5711|1774|3859|4191|19,NA,05/30/2023,TRUE,FALSE,FALSE
32470,STAR WARS™ Empire at War: Gold Pack,Petroglyph,LucasArts|Lucasfilm|Disney,NA,NA,NA,97,NA,NA,NA,19.99,19.99,0,NA,2,9|1676|19|1693|4364|1756|599|1670|1685|21|4166|3965|1755|3942|3859|4182|1669|5348|1708|1678,NA,05/26/2010,TRUE,FALSE,FALSE
1449850,Yu-Gi-Oh! Master Duel,KONAMI,KONAMI,NA,NA,NA,72,NA,NA,NA,0,0,NA,NA,28|2|37,1666|113|1708|4182|5055|4046|1684|1756|4191|6730|3871|32322|9|9271|3859|1775|4085|791774|14139|599,NA,01/19/2022,TRUE,FALSE,FALSE
728530,SD GUNDAM G GENERATION CROSS RAYS,TOM CREATE|株式会社トムクリエイト,BANDAI NAMCO Entertainment|株式会社バンダイナムコエンターテインメント,NA,NA,NA,82,NA,NA,NA,39.99,39.99,50,NA,3|2,4821|21725|1741|4182|17305|5851|4791|3942|4975|1755|1742|9|14139|4085|122|5752|4434|4145|4747|1677,NA,11/27/2019,TRUE,FALSE,FALSE
2288630,Taiko no Tatsujin: Rhythm Festival,Bandai Namco Amusement Lab Inc.,Bandai Namco Entertainment Inc.,NA,NA,NA,84,NA,NA,NA,49.99,49.99,40,NA,4,597|1752|4182|3859|1775|1621|4726|4085|4026|1773,NA,11/06/2024,TRUE,FALSE,FALSE
280720,Imagine Earth,Serious Bros.,Serious Bros.,NA,NA,NA,81,NA,NA,NA,24.99,24.99,0,NA,4|23|28|2,30358|4791|3810|1676|7332|9|4191|4845|6310|4695|12472|5794|3854|3835|1654|220585|4364|4328|9204|26921,NA,05/25/2021,TRUE,TRUE,TRUE
1222670,The Sims™ 4,Maxis,Electronic Arts,NA,NA,NA,86,NA,NA,NA,0,0,NA,NA,25|4|28|37,10235|113|597|4175|4136|5350|4726|9204|1684|21|4195|6650|4747|1643|599|4947|4182|3810|9551|1654,NA,06/18/2020,TRUE,FALSE,FALSE
601510,Yu-Gi-Oh! Duel Links,KONAMI,KONAMI,NA,NA,NA,82,NA,NA,NA,0,0,NA,NA,2|37,113|1666|122|10397|1756|3843|19|21|599|128|1721|1662|4085|9|3859|9271|4182|1677|3878|597,NA,11/17/2017,TRUE,FALSE,FALSE
3314070,The Sims™ 2 Legacy Collection,MAXIS,Electronic Arts,NA,NA,NA,70,NA,NA,NA,29.99,29.99,40,NA,28,3810|10235|597|1693|4195|4305|4190|4004|7782|3916|4711|122|1643|599|4747|12472|9204|4166|4182|1742,NA,01/31/2025,TRUE,FALSE,FALSE
15160,Petz Horsez 2,Ubisoft,Ubisoft,NA,NA,NA,75,NA,NA,NA,9.99,9.99,0,NA,28|33,599|6041|5350,NA,06/13/2008,FALSE,FALSE,FALSE
1761390,Hatsune Miku: Project DIVA Mega Mix+,SEGA,SEGA,NA,NA,NA,94,NA,NA,NA,39.39,39.39,60,NA,1,1752|4085|4182|4295|51306|5673|1756|5154|1734|4711|603297|4026|1773|4726|4191|1621|19|7208|4747|5350,NA,05/26/2022,TRUE,FALSE,FALSE
1895880,Ratchet & Clank: Rift Apart,Insomniac Games|Nixxes Software,PlayStation Publishing LLC,NA,NA,NA,90,NA,NA,NA,59.99,59.99,0,NA,1|25,21|5395|4136|1774|4195|1742|4726|1695|4305|7208|1685|1755|4182|4106|1697|5350|19|3814|3942|1625,NA,07/26/2023,TRUE,FALSE,FALSE
2141910,Magic: The Gathering Arena,Wizards of the Coast LLC,Wizards of the Coast LLC,NA,NA,NA,61,NA,NA,NA,0,0,NA,NA,2|37,9|1666|5055|1708|16250|791774|1677|44868|113|9271|32322|1775|3859|1741|1684|4057,NA,05/23/2023,TRUE,TRUE,FALSE
349040,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,CyberConnect2 Co. Ltd.,BANDAI NAMCO Entertainment,NA,NA,NA,91,NA,NA,NA,19.99,19.99,0,NA,1|25,4085|1743|1756|1695|1684|1685|3843|4166|3841|4158|10397|7481|19|3859|1688|21|1742|7368|4182|1697,NA,02/04/2016,TRUE,FALSE,FALSE
2697000,The Legend of Khiimori,Aesir Interactive|NightinGames,Mindscape,NA,NA,NA,85,NA,NA,NA,29.99,29.99,0,NA,25|4|28|70,6041|3987|21|4726|10383|4175|4191|1697|4182|7481|597|1654|3834|1695|1662|30358|7208|16094|599|10235,NA,03/03/2026,TRUE,FALSE,FALSE
47890,The Sims™ 3,The Sims Studio|Maxis,Electronic Arts,NA,NA,NA,86,NA,NA,NA,19.99,19.99,0,NA,28,10235|599|122|5350|1719|21|4711|3859|6650|1756|9|19|4747|1643|3810|4182|597|4136|1669|4947,NA,NA,FALSE,FALSE,FALSE
965230,DORAEMON STORY OF SEASONS,Marvelous Inc.|Brownies Inc.,BANDAI NAMCO Entertainment,NA,NA,NA,81,NA,NA,NA,49.99,49.99,60,NA,4|28,87918|10235|6815|4305|5851|4166|4085|1702|14720|4562|597|4520|122|5350|21|599|4182|4726|1654|3871,NA,10/10/2019,TRUE,FALSE,FALSE
1955800,TRANSFORMERS: EARTHSPARK - Expedition,Tessera Studios,Outright Games Ltd.|Phoenixx Inc.,NA,NA,NA,61,NA,NA,NA,39.99,39.99,85,NA,1|25,5752|19|21|3993|5350|4562|4182|4106|4191|11104,NA,10/13/2023,TRUE,FALSE,FALSE
1494470,BUSTAFELLOWS,NIPPON CULTURAL BROADCASTING EXTEND INC.,PQube,NA,NA,NA,86,NA,NA,NA,39.99,39.99,0,NA,25,31579|3799|9551|31275|1664|4305|6378|4182|597|19|4106|599|7208|1742|6052|4947|6971|21|4085|6426,NA,07/30/2021,TRUE,FALSE,FALSE
1857740,MOBILE SUIT GUNDAM SEED BATTLE DESTINY REMASTERED,Bandai Namco Forge Digitals Inc.,Bandai Namco Entertainment Inc.,NA,NA,NA,79,NA,NA,NA,39.99,39.99,0,NA,1|4|3,19|122|3993|1774|3814|3942|597|4821|4085|4231|5752|5395|4182|4747,NA,05/21/2025,TRUE,FALSE,FALSE
3064420,Innocence Or Money | Season 2 | Episode 1,MarcialART,MarcialART,NA,NA,NA,75,NA,NA,NA,3.99,3.99,0,NA,25,12095|6650|5923|5984|6426|4136|6971|1695|1742|4182|492|4726|7208|24904|3799|5611|21|9551|4486|1719,NA,08/10/2024,TRUE,FALSE,TRUE
1056640,Phantasy Star Online 2 New Genesis,SEGA,SEGA,NA,NA,NA,69,NA,NA,NA,0,0,NA,NA,1|29|3|37,113|4747|3942|4231|1684|1695|6650|4821|1685|12095|4726|1756|1754|4085|3859|122|19|3843|4434|128,NA,08/05/2020,TRUE,FALSE,FALSE
1178790,Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,"Spike Chunsoft Co., Ltd.","Spike Chunsoft Co., Ltd.",NA,NA,NA,76,NA,NA,NA,19.99,19.99,80,NA,3,198631|1716|4026|4182|122|1720|3964|454187|3871|1677|4085|4434,NA,12/02/2020,TRUE,FALSE,FALSE
1681890,Little League World Series Baseball 2022,IguanaBee,GameMill Entertainment,NA,NA,NA,20,NA,NA,NA,49.99,49.99,0,NA,18,701|4191|4195|5727|4182|7368,NA,08/17/2022,TRUE,FALSE,FALSE
1812620,DSX,Paliverse,Paliverse,NA,NA,NA,69,NA,NA,NA,7.99,7.99,0,NA,1|25|23|28|57,599|492|3878|7481|87|8013|19|21|150626|1774|176981,NA,06/24/2022,TRUE,FALSE,FALSE
1888160,ARMORED CORE™ VI FIRES OF RUBICON™,"FromSoftware, Inc.","FromSoftware, Inc.|Bandai Namco Entertainment Inc.",NA,NA,NA,91,NA,NA,NA,59.99,59.99,0,NA,1,4821|4747|3859|4295|3835|4182|4026|11104|7948|4168|4106|4166|19|5752|1697|3993|1734|29482|3942|4191,NA,08/24/2023,TRUE,FALSE,FALSE
3764200,Resident Evil Requiem,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",NA,NA,NA,96,NA,NA,NA,69.99,69.99,0,NA,1|25,3978|1659|4175|4342|4191|1742|3835|7208|4667|6276|5673|1628|1667|3814|19|1663|3839|4106|4145|4182,NA,02/27/2026,TRUE,FALSE,FALSE
202530,SONIC THE HEDGEHOG 4 Episode I,SEGA,SEGA,NA,NA,NA,39,NA,NA,NA,9.99,9.99,50,NA,NA,1625|3871|1721|3798|4242|5379|1773|4004|19|21|4305|4182|1734|1756|4975|5350,NA,01/19/2012,TRUE,FALSE,FALSE
294280,Scooby-Doo! & Looney Tunes Cartoon Universe: Adventure,WayForward,Warner Bros. Interactive Entertainment,NA,NA,NA,59,NA,NA,NA,19.99,19.99,0,NA,1|25|4,19|21|597|4562|1742|1721|5350,NA,07/16/2014,TRUE,FALSE,FALSE
464450,DoDonPachi Resurrection,"CAVE Interactive CO.,LTD.",KOMODO,NA,NA,NA,95,NA,NA,NA,29.99,29.99,0,NA,1,4637|4885|3942|1755|5154|10397|4004|1685|3841|7368|3859|4182|4255|4026|1774|1773|3871|19|4085|3964,NA,10/14/2016,TRUE,FALSE,FALSE
480650,Yu-Gi-Oh! Legacy of the Duelist,Other Ocean Interactive,KONAMI,NA,NA,NA,83,NA,NA,NA,19.99,19.99,75,NA,28,1666|791774|19|597|1677|32322|4085|599|9271|3859|9|4182|1684,NA,12/07/2016,TRUE,FALSE,FALSE
538680,The Legend of Heroes: Trails of Cold Steel,Nihon Falcom,"XSEED Games|Marvelous USA, Inc.",NA,NA,NA,94,NA,NA,NA,39.99,39.99,0,NA,3,4434|4085|4947|4726|1720|9551|4136|10695|19|1695|4821|12095|122|1742|1756|1677|4182|4325|21|1684,NA,08/02/2017,TRUE,FALSE,FALSE
893650,CSI VR Crime Scene Investigation,GES_Games,GES_Games,NA,NA,NA,27,NA,NA,NA,4.99,4.99,0,NA,1|25|23|28|2|70,21|599|19|9|493|4345|4667|492|21978,NA,09/05/2018,TRUE,FALSE,FALSE
1004640,FINAL FANTASY TACTICS - The Ivalice Chronicles,Square Enix,Square Enix,NA,NA,NA,89,NA,NA,NA,49.99,49.99,30,NA,3|2,1741|14139|4325|4791|3964|4155|4057|4166|4182|5094|9|599|21725|1684|4172|1742|4434|17305|5608|122,NA,09/30/2025,TRUE,FALSE,FALSE
1229570,Imagine Lifetimes,Frycandle,Frycandle,NA,NA,NA,66,NA,NA,NA,5.99,5.99,0,NA,4|23|28,1698|599|3871|13782|9994|7702|492|4004|597|6426|12095|4136|1651|10235|6971|5094|5923|4486|15277|4182,NA,11/26/2020,TRUE,FALSE,FALSE
2241880,Gunslinger,RayTrace Interactive,RayTrace Interactive,NA,NA,NA,NA,NA,NA,NA,1.99,1.99,0,NA,1|25|23|70,19|21|4637|4191|4562|4252|4791|4295|4168|3942|1678|3993|42804|4106|4158|1716|1774|5547|4885|4255,NA,12/29/2022,TRUE,FALSE,FALSE
3020340,The History Channel: Battle of Britain - World War II 1940,iEntertainment,MicroProse Software,NA,NA,NA,NA,NA,NA,NA,8.99,8.99,0,NA,1|28|2,19|599|11104|4182|9|15045|4684|4191|1697|1678|3993|7481,NA,09/15/2025,TRUE,FALSE,FALSE
3240220,Grand Theft Auto V Enhanced,Rockstar North,Rockstar Games,NA,NA,NA,81,NA,NA,NA,44.99,44.99,56,NA,1|25|9,1695|19|1100687|699|3814|3810|4136|1669|4166|1685|1775|1719|12095|3859|6378|5611|1774|1697|3839|21,NA,03/04/2025,TRUE,FALSE,FALSE
8500,EVE Online,CCP,CCP,NA,NA,NA,73,NA,NA,NA,0,0,NA,NA,1|29|3|2|37,16598|3834|1685|6730|1697|5981|3854|4747|3942|4695|9|1775|21|1695|4026|599|4202|1755|3810|128,NA,12/16/2010,TRUE,TRUE,FALSE
39210,FINAL FANTASY XIV Online,Square Enix,Square Enix,NA,NA,NA,86,NA,NA,NA,19.99,19.99,0,NA,29|3,1754|122|4057|21|1685|1697|3834|19|1702|4166|4231|7208|128|4747|1684|4434|1695|1742|3859|3843,NA,02/18/2014,TRUE,FALSE,FALSE
239250,Castlevania: Lords of Shadow 2,MercurySteam,KONAMI,NA,NA,NA,84,NA,NA,NA,39.99,39.99,0,NA,1|25,19|21|4231|4342|3965|4345|4667|1742|4166|122|1756|1667|4018|1646|3952|4182|1697|1684|5230|1628,NA,02/25/2014,TRUE,FALSE,FALSE
694500,Army Men RTS,Pandemic Studios,2K,NA,NA,NA,88,NA,NA,NA,5.99,5.99,0,NA,1|2,9|1676|3859|19|1693|7332|4182|4168,NA,12/20/2017,TRUE,FALSE,FALSE
765870,Leisure Suit Larry - Wet Dreams Don't Dry,CrazyBunch,Assemble Entertainment,NA,NA,NA,86,NA,NA,NA,29.99,29.99,0,NA,25,21|1698|5230|44868|5611|4305|597|6650|492|24904|1693|1756|1719|12095|1664|4004|3871|4195|1742|4182,NA,11/07/2018,TRUE,TRUE,FALSE
872410,ROMANCE OF THE THREE KINGDOMS XIV,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",NA,NA,NA,63,NA,NA,NA,59.99,59.99,40,NA,28,14139|4684|3987|4191|4598|599|1708|4182|8945|4711|122|1677|4168|9204|6310|1678|4364|1741|4747|9,NA,01/16/2020,TRUE,FALSE,FALSE
1025600,Battle Realms: Zen Edition,Ed Del Castillo,Ed Del Castillo,NA,NA,NA,88,NA,NA,NA,14.99,14.99,0,NA,1|2,9|19|1676|1693|3859|493|1684|1734|4182|7332,NA,01/27/2025,TRUE,FALSE,FALSE
1689620,BLEACH Rebirth of Souls,TAMSOFT CORPORATION,Bandai Namco Entertainment Inc.,NA,NA,NA,66,NA,NA,NA,59.99,59.99,0,NA,1,19|4085|1742|1743|4604|6730|5984|1756|7368|6506|4191|1775|4608|3859|1751|3993|4182,NA,03/20/2025,TRUE,FALSE,FALSE
2175540,DRAGON QUEST MONSTERS: The Dark Prince,Square Enix,Square Enix,NA,NA,NA,76,NA,NA,NA,39.99,39.99,0,NA,3,122|916648|4182|1742|4726|4046|1677|5652|32322|4172|4057|14139|4434|10695|4325|4085|4191|11333|15954|1684,NA,09/11/2024,TRUE,FALSE,FALSE
2319080,Retro Style - Pixel Art Jigsaw Puzzles,Boogygames Studios,Boogygames Studios,NA,NA,NA,NA,NA,NA,NA,1.99,1.99,0,NA,4|23|2,1664|3964|17389|1738|1665|3871|3835|4305|1777|3987|30358|1036|597|4004|1654|9|1770|1684|4094|1698,NA,02/27/2023,TRUE,FALSE,FALSE
2330430,Looney Tunes: Wacky World of Sports,Bamtang Games,GameMill Entertainment,NA,NA,NA,73,NA,NA,NA,49.99,49.99,0,NA,18,701|597|1775|4182|7368|4562|4195|4305|10816|1746|1254546|7038|5914,NA,09/27/2024,TRUE,FALSE,FALSE
2395210,Tony Hawk's™ Pro Skater™ 1 + 2,Vicarious Visions|Iron Galaxy Studios,Activision,NA,NA,NA,90,NA,NA,NA,39.99,39.99,0,NA,18,701|1753|5708|1621|1756|1693|10816|1695|3859|4182|1773|1685|4747|1697|4191|7948,NA,10/03/2023,TRUE,FALSE,FALSE
2706020,All Will Fall,All Parts Connected,tinyBuild,NA,NA,NA,77,NA,NA,NA,29.99,29.99,0,NA,23|28|2,220585|7332|3968|255534|8945|12472|1643|4182|4191|4695|1662|4166|3835|599|1100689|4328|4711|3810|9|4853,NA,04/03/2026,TRUE,FALSE,FALSE
201230,EverQuest II,Darkpaw Games,Daybreak Game Company,NA,NA,NA,79,NA,NA,NA,0,0,NA,NA,29|3|37,113|128|19|4747|7918|4182|1693|3810|1697|3839|4046|122|1754|1684|1702|1695|21|3859|3834,NA,12/07/2011,TRUE,FALSE,FALSE
403430,ARCADE GAME SERIES: GALAGA,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,NA,NA,NA,90,NA,NA,NA,3.99,3.99,0,NA,1,1773|19|7743|3942|4255|4004|1693|3871|3964|4182|1755|1774,NA,04/19/2016,TRUE,FALSE,FALSE
744050,Space Invaders Extreme,TAITO CORP.,KOMODO|TAITO CORP.,NA,NA,NA,88,NA,NA,NA,19.99,19.99,75,NA,1,4255|4885|4305|4252|1755|5154|1714|3916|3964|4004|4295|1673|1773|19|1774|4026|3942|3871|4182|4791,NA,02/13/2018,TRUE,FALSE,FALSE
1249970,Test Drive Unlimited Solar Crown,KT Racing,Nacon,NA,NA,NA,36,NA,NA,NA,49.99,49.99,70,NA,29|9|28,699|1695|3839|599|1100687|128|4182|4252|16250|1773|4747|3843|1644|3834|3859|4175|5411|4191|5673|1697,NA,09/12/2024,TRUE,FALSE,FALSE
1316910,Super Monkey Ball Banana Mania,Ryu Ga Gotoku Studio,SEGA,NA,NA,NA,82,NA,NA,NA,29.99,29.99,75,NA,1,19|4305|4726|5395|3843|1756|4085|1693|5708|4711|7368|1625|7481|3859|4026|4182|7108|1721|1773,NA,10/05/2021,TRUE,FALSE,FALSE
1600530,3D Aim Trainer,3D Aim Trainer,3D Aim Trainer|SteelSeries,NA,NA,NA,87,NA,NA,NA,0,0,NA,NA,1|25|4|23|28|37|70,1663|5055|620519|379975|6730|12057|176981|1698|4168|1687|21|1662|1774|19|3839|3814|599|597|4106|5547,NA,07/08/2021,TRUE,FALSE,FALSE
1668540,The Legend of Heroes: Trails into Reverie,Nihon Falcom|PH3 GmbH,"NIS America, Inc.",NA,NA,NA,94,NA,NA,NA,59.99,59.99,35,NA,3,122|4434|1742|4085|10695|4325|4191|4182|1756,NA,07/07/2023,TRUE,FALSE,FALSE
4045750,Out of the Park Baseball 27,Out of the Park Developments,Out of the Park Developments,NA,NA,NA,79,NA,NA,NA,49.99,49.99,0,NA,23|28|18|2,599|701|3987|492|1775|6426|8945|4202|3859|4182|3878|5350|9|3810|5727|9271|3871|4191|12472|13190,NA,03/13/2026,TRUE,TRUE,FALSE
272510,NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,"CyberConnect2 Co., Ltd.",BANDAI NAMCO Entertainment,NA,NA,NA,84,NA,NA,NA,29.99,29.99,0,NA,1|25,4085|1743|7481|1697|4231|1684|4106|1775|7368|3841|1719|29363|1688|19|3859|21|3843|4182|1756|1685,NA,09/16/2014,TRUE,FALSE,FALSE
359550,Tom Clancy's Rainbow Six Siege,Ubisoft Montreal,Ubisoft,NA,NA,NA,82,NA,NA,NA,0,0,NA,NA,1|37,1663|1775|5711|4168|9|3839|1685|4175|5363|1678|4026|4191|3859|1774|1708|5055|3878|3843|19|620519,NA,12/01/2015,TRUE,FALSE,FALSE
363150,Romance of the Three Kingdoms XIII,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",NA,NA,NA,57,NA,NA,NA,59.99,59.99,70,NA,28,14139|4684|9|3987|4191|4598|599|1708|8945|4711|122|4182|4168|9204|6310|1678|1676|4364|1741|4747,NA,01/28/2016,TRUE,FALSE,FALSE
595520,FINAL FANTASY XII THE ZODIAC AGE,Square Enix,Square Enix,NA,NA,NA,89,NA,NA,NA,49.99,49.99,70,NA,3,122|4434|10695|7107|1697|19|4085|9|1677|5708|4166|7208|1684|4182|1742|1756|1695|21|3834|1693,NA,02/01/2018,TRUE,FALSE,FALSE
613880,Zoo Tycoon,Frontier Developments|Asobo Studio,Xbox Game Studios,NA,NA,NA,63,NA,NA,NA,19.99,19.99,70,NA,28,599|12472|3859|3810|4182|5350|1643|4328,NA,09/14/2018,TRUE,FALSE,FALSE
1089090,ONE PIECE: PIRATE WARRIORS 4,Koei Tecmo,BANDAI NAMCO Entertainment,NA,NA,NA,91,NA,NA,NA,39.99,39.99,75,NA,1,4085|1646|3859|1685|21|122|3841|3843|7481|1719|4182|1695|4158|1681|1743|10816|19|1775|1773|323922,NA,03/26/2020,TRUE,FALSE,FALSE
1356240,Who Wants To Be A Millionaire?,Appeal Studios|Balio Studio,Microids,NA,NA,NA,50,NA,NA,NA,29.99,29.99,0,NA,4,71389|1036|4191|31275|4136|3987|5711|19|597|599|4175|5350|10437|5794|1775|1770|176981|1773|7178|1716,NA,10/29/2020,TRUE,TRUE,FALSE
1361210,"Warhammer 40,000: Darktide",Fatshark,Fatshark,NA,NA,NA,71,NA,NA,NA,39.99,39.99,0,NA,1|25|3,1667|5711|1659|3839|4747|4342|4106|19|5094|4604|4175|4166|3993|1685|12286|1663|6730|4155|1646|1774,NA,11/30/2022,TRUE,FALSE,FALSE
1402320,Medal of Honor™: Above and Beyond,Respawn Entertainment,Electronic Arts,NA,NA,NA,63,NA,NA,NA,39.99,39.99,50,NA,1,21978|19|1695|4667|4231|42804|1663|1774|3987|4168|7481|12095|4150|4182|3839|4684|1678|3859|4106|4345,NA,12/11/2020,TRUE,FALSE,FALSE
1413480,Shin Megami Tensei III Nocturne HD Remaster,ATLUS,SEGA,NA,NA,NA,87,NA,NA,NA,49.99,49.99,70,NA,3,4434|122|4085|17305|5030|6426|1684|6971|4325|1742|7481|15172|916648|10695|9541|4166|4342|3835|1741|16094,NA,05/25/2021,TRUE,FALSE,FALSE
1747560,Chronicles of 2 Heroes: Amaterasu's Wrath,Infinity Experience,Infinity Experience,NA,NA,NA,78,NA,NA,NA,19.99,19.99,0,NA,1|25|23,4004|1625|3798|3854|16094|3877|5379|5153|19|21|4106|7208|3964|1628|3871|492|1688|4026|7948|4182,NA,05/26/2023,TRUE,FALSE,FALSE
1790600,DRAGON BALL: Sparking! ZERO,"Spike Chunsoft Co., Ltd.",Bandai Namco Entertainment,NA,NA,NA,87,NA,NA,NA,69.99,69.99,50,NA,1,4085|3859|3878|4191|3968|1697|4975|1685|6730|4106|1695|4777|19|1743|6506|7368|1775|3993|6915|4182,NA,10/10/2024,TRUE,FALSE,FALSE
1846380,Need for Speed™ Unbound,Criterion Games,Electronic Arts,NA,NA,NA,60,NA,NA,NA,69.99,69.99,86,NA,1|9,699|3859|3843|597|599|701|21|4166|4085|1621|3934|10816|1695|1644|19|4182|4747|7481|4102|1773,NA,12/02/2022,TRUE,FALSE,FALSE
2439780,Godzilla Voxel Wars,"TOHO CO., LTD.|Nukenin","TOHO CO., LTD.",NA,NA,NA,95,NA,NA,NA,14.99,14.99,0,NA,23|28|2,14139|1664|597|599|3964|4305|1708|3942|3916|4182|492|3965|4158|1741|17389|1770|9|1732|4975|5851,NA,10/31/2023,TRUE,TRUE,FALSE
2499860,DRAGON QUEST VII Reimagined,Square Enix|HEXADRIVE Inc.,Square Enix,NA,NA,NA,89,NA,NA,NA,59.99,59.99,0,NA,25|3,122|4434|4046|1684|5708|14720|15954|5608|1742|4057|4166|21|4191|4726|3993|4182|1677|4325|10679|10695,NA,02/05/2026,TRUE,FALSE,FALSE
2633950,Rugrats: Adventures in Gameland,The MIX Games|WALLRIDE,The MIX Games,NA,NA,NA,85,NA,NA,NA,19.99,19.99,0,NA,1|25|23,19|21|492|3841|7368|3859|4182|1625|1773|3871|4305|4726|4004|4106|4562|3964|6691|3916|5379|1685,NA,09/10/2024,TRUE,FALSE,FALSE
2730810,EVERYBODY'S GOLF HOT SHOTS,"HYDE, Inc.",Bandai Namco Entertainment Inc.,NA,NA,NA,61,NA,NA,NA,39.99,39.99,25,NA,18,701|4191|7038|3859|4182|4085|4726|7368,NA,09/04/2025,TRUE,FALSE,FALSE
130,Half-Life: Blue Shift,Gearbox Software,Valve,NA,NA,NA,92,NA,NA,NA,4.99,4.99,0,NA,1,1663|19|6691|4234|4166|15954|1742|1664|4004|1669|1756|4667|3942|4182|1774|1673|1693|3839|1659|21,NA,06/01/2001,TRUE,TRUE,TRUE
9180,Commander Keen Complete Pack,id Software,id Software,NA,NA,NA,93,NA,NA,NA,4.99,4.99,0,NA,1,1625|1693|3798|21|14720|3964|6691|3871|19|4004|3916|4182|3942|5350,NA,08/03/2007,FALSE,FALSE,FALSE
47790,Medal of Honor(TM) Single Player,Electronic Arts,Electronic Arts,NA,NA,NA,76,NA,NA,NA,19.99,19.99,80,NA,1,1663|19|1685|7481|13190|1687|5611|7250|1695|1742|4166|21978|1774|4182|4168|3859|1678|3839|5673|4175,NA,10/12/2010,FALSE,FALSE,FALSE
47810,Dragon Age: Origins - Ultimate Edition,BioWare,Electronic Arts,NA,NA,NA,85,NA,NA,NA,29.99,29.99,75,NA,3,122|1684|4604|6971|8461|9|4046|7208|1693|1695|1708|1669|1742|6426|4182|10695|7107|4747|5611|21,NA,NA,TRUE,FALSE,FALSE
222420,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION,SNK CORPORATION|Code Mystics,SNK CORPORATION,NA,NA,NA,90,NA,NA,NA,14.99,14.99,0,NA,1,1743|1773|4085|1756|7368|7481|6691|4736|19|3859|1693|3871|3964|3878|4004,NA,12/16/2014,TRUE,FALSE,FALSE
222440,THE KING OF FIGHTERS 2002 UNLIMITED MATCH,SNK CORPORATION|Code Mystics,SNK CORPORATION,NA,NA,NA,94,NA,NA,NA,14.99,14.99,0,NA,1,1743|19|3878|3871|4004|4736|1773|3859|1693|4085|7368|1756|3964,NA,02/27/2015,TRUE,FALSE,FALSE
238370,Magicka 2,Pieces Interactive,Paradox Interactive,NA,NA,NA,82,NA,NA,NA,14.99,14.99,0,NA,1|25,4057|1685|5711|4166|1775|1684|7368|1695|4182|4345|10397|4840|21|3859|1719|19|3843|4136|3841|122,NA,05/26/2015,TRUE,TRUE,TRUE
261030,The Walking Dead: Season Two,Telltale Games,Skybound Games,NA,NA,NA,96,NA,NA,NA,14.99,14.99,0,NA,25,1659|21|4486|1667|1751|5608|5611|1662|3835|4145|19|4345|1742|4242|1698|4182|7208|5984|6426|4166,NA,12/17/2013,TRUE,TRUE,FALSE
403410,ARCADE GAME SERIES: Ms. PAC-MAN,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,NA,NA,NA,89,NA,NA,NA,3.99,3.99,0,NA,1,19|1773|4004|1693|3871|7208,NA,04/19/2016,FALSE,FALSE,FALSE
544810,KARDS - The WWII Card Game,1939 Games,1939 Games,NA,NA,NA,69,NA,NA,NA,0,0,NA,NA,4|23|2|37,113|1666|4325|32322|3987|3859|13276|4168|1678|597|4175|4182|4150|9271|4684|1775|1741|9|1770|4791,NA,04/15/2020,TRUE,FALSE,FALSE
